n	ops	comparisons	collisions	load_factor	inserts	removes	finds	groups_total	groups_mean	groups_stdev	groups_min	groups_max
5270	5270	8959	3689	0.671081	5270	0	0	4782	1.10205	3043.12	1	2
5271	5271	8984	3713	0.671208	5271	0	0	4782	1.10226	3043.79	1	2
5272	5272	8986	3714	0.671336	5272	0	0	4783	1.10224	3044.36	1	2
5273	5273	8990	3717	0.671463	5273	0	0	4784	1.10222	3044.97	1	2
5274	5274	8995	3721	0.67159	5274	0	0	4784	1.10242	3045.61	1	2
5275	5275	8998	3723	0.671718	5275	0	0	4784	1.10263	3045.62	1	2
5276	5276	9000	3724	0.671845	5276	0	0	4785	1.10261	3046.22	1	2
5277	5277	9004	3727	0.671973	5277	0	0	4786	1.10259	3046.78	1	2
5278	5278	9007	3729	0.6721	5278	0	0	4787	1.10257	3047.34	1	2
5279	5279	9011	3732	0.672227	5279	0	0	4788	1.10255	3047.89	1	2
5280	5280	9017	3737	0.672355	5280	0	0	4790	1.1023	3048.15	1	2
5281	5281	9018	3737	0.672482	5281	0	0	4791	1.10228	3048.77	1	2
5282	5282	9023	3741	0.672609	5282	0	0	4792	1.10225	3049.32	1	2
5283	5283	9024	3741	0.672737	5283	0	0	4793	1.10223	3049.87	1	2
5284	5284	9025	3741	0.672864	5284	0	0	4794	1.10221	3050.44	1	2
5285	5285	9027	3742	0.672991	5285	0	0	4794	1.10242	3051.24	1	2
5286	5286	9028	3742	0.673119	5286	0	0	4795	1.1024	3051.82	1	2
5287	5287	9030	3743	0.673246	5287	0	0	4796	1.10238	3052.42	1	2
5288	5288	9032	3744	0.673373	5288	0	0	4797	1.10236	3053	1	2
5289	5289	9036	3747	0.673501	5289	0	0	4798	1.10233	3053.55	1	2
5290	5290	9040	3750	0.673628	5290	0	0	4799	1.10231	3054.11	1	2
5291	5291	9041	3750	0.673755	5291	0	0	4800	1.10229	3054.68	1	2
5292	5292	9043	3751	0.673883	5292	0	0	4800	1.1025	3055.55	1	2
5293	5293	9044	3751	0.67401	5293	0	0	4801	1.10248	3056.12	1	2
5294	5294	9049	3755	0.674137	5294	0	0	4802	1.10246	3056.73	1	2
5295	5295	9051	3756	0.674265	5295	0	0	4803	1.10244	3057.29	1	2
5296	5296	9054	3758	0.674392	5296	0	0	4804	1.10241	3057.85	1	2
5297	5297	9055	3758	0.674519	5297	0	0	4805	1.10239	3058.44	1	2
5298	5298	9059	3761	0.674647	5298	0	0	4806	1.10237	3059	1	2
5299	5299	9066	3767	0.674774	5299	0	0	4807	1.10235	3059.6	1	2
5300	5300	9070	3770	0.674901	5300	0	0	4808	1.10233	3060.21	1	2
5301	5301	9071	3770	0.675029	5301	0	0	4809	1.10231	3060.77	1	2
5302	5302	9075	3773	0.675156	5302	0	0	4810	1.10229	3061.32	1	2
5303	5303	9081	3778	0.675283	5303	0	0	4811	1.10227	3061.88	1	2
5304	5304	9083	3779	0.675411	5304	0	0	4811	1.10247	3062.66	1	2
5305	5305	9088	3783	0.675538	5305	0	0	4811	1.10268	3063.44	1	2
5306	5306	9092	3786	0.675665	5306	0	0	4811	1.10289	3063.97	1	2
5307	5307	9093	3786	0.675793	5307	0	0	4811	1.1031	3064.15	1	2
5308	5308	9096	3788	0.67592	5308	0	0	4812	1.10308	3064.7	1	2
5309	5309	9101	3792	0.676047	5309	0	0	4813	1.10305	3065.29	1	2
5310	5310	9102	3792	0.676175	5310	0	0	4813	1.10326	3066.03	1	2
